epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6305,1.58644,2.06989,1.24854,0.91384,0.22149,0.5668,0.24144,1.6754,2.57683,1.34721,0.00044,0.00044,0.00044
2,128.488,1.41792,1.12037,1.18842,0.6881,0.31323,0.35701,0.16248,1.67331,2.92611,1.47863,0.00089109,0.00089109,0.00089109
3,194.518,1.3266,0.97047,1.15395,0.91752,0.64523,0.7905,0.41159,1.58675,1.93124,1.35833,0.00133307,0.00133307,0.00133307
4,258.471,1.39317,0.95299,1.19879,0.83893,0.83384,0.87655,0.44168,1.65929,1.19166,1.37076,0.00176595,0.00176595,0.00176595
5,323.252,1.35922,0.91391,1.1858,0.85652,0.89327,0.91635,0.4909,1.44978,1.0768,1.31837,0.0019208,0.0019208,0.0019208
6,387.338,1.33995,0.83901,1.16503,0.90595,0.89095,0.93282,0.50609,1.47708,0.92438,1.30877,0.001901,0.001901,0.001901
7,451.402,1.31003,0.83698,1.15475,0.90234,0.92178,0.94228,0.53818,1.41055,0.82622,1.23715,0.0018812,0.0018812,0.0018812
8,514.106,1.22966,0.75678,1.11493,0.90819,0.91647,0.94455,0.52479,1.48191,0.82105,1.31774,0.0018614,0.0018614,0.0018614
9,576.196,1.24561,0.77586,1.13783,0.90244,0.90142,0.94089,0.54664,1.37077,0.74518,1.20907,0.0018416,0.0018416,0.0018416
10,638.077,1.19826,0.73291,1.09,0.92913,0.94432,0.95493,0.53534,1.39708,0.72927,1.25542,0.0018218,0.0018218,0.0018218
11,699.699,1.22841,0.72529,1.11601,0.91681,0.93503,0.9563,0.54358,1.38295,0.70068,1.21897,0.001802,0.001802,0.001802
12,761.115,1.1905,0.69793,1.09772,0.90849,0.92807,0.95912,0.54467,1.41195,0.7622,1.25845,0.0017822,0.0017822,0.0017822
13,822.723,1.24845,0.71911,1.13887,0.91424,0.91521,0.95498,0.54065,1.43433,0.73958,1.24123,0.0017624,0.0017624,0.0017624
14,884.122,1.21512,0.68834,1.10447,0.91572,0.95128,0.95502,0.55992,1.34559,0.67357,1.2008,0.0017426,0.0017426,0.0017426
15,946.593,1.19606,0.68583,1.09716,0.92844,0.87292,0.94979,0.569,1.36944,0.69055,1.20771,0.0017228,0.0017228,0.0017228
