epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2660.52,1.06931,0.53456,1.04635,0.92588,0.9565,0.95849,0.57959,1.34446,0.55363,1.22198,0.0011882,0.0011882,0.0011882
43,2722.88,1.07456,0.54493,1.05491,0.9307,0.93968,0.95596,0.57307,1.35422,0.56185,1.22117,0.0011684,0.0011684,0.0011684
44,2786.49,1.06103,0.54052,1.04411,0.91168,0.95797,0.95066,0.57103,1.36205,0.56508,1.23367,0.0011486,0.0011486,0.0011486
45,2850.2,1.0524,0.515,1.04617,0.92598,0.95824,0.95584,0.5811,1.34889,0.56118,1.22896,0.0011288,0.0011288,0.0011288
46,2913.33,1.02909,0.5142,1.03472,0.94017,0.95824,0.96757,0.57872,1.34325,0.54132,1.24445,0.001109,0.001109,0.001109
47,2977.01,1.08119,0.52568,1.0408,0.94679,0.96288,0.96734,0.57224,1.37098,0.56223,1.25233,0.0010892,0.0010892,0.0010892
48,3040.87,1.12837,0.54174,1.07601,0.91936,0.95226,0.95346,0.56477,1.35788,0.55558,1.2286,0.0010694,0.0010694,0.0010694
49,3104.74,1.03624,0.50281,1.03549,0.9505,0.94432,0.96458,0.58886,1.34909,0.52619,1.20841,0.0010496,0.0010496,0.0010496
50,3168.2,1.05964,0.50621,1.04857,0.94019,0.94827,0.96347,0.58515,1.33725,0.52694,1.22691,0.0010298,0.0010298,0.0010298
51,3230.45,1.04642,0.51586,1.05182,0.94069,0.95678,0.96524,0.57631,1.33094,0.52487,1.21201,0.00101,0.00101,0.00101
52,3293.96,1.04634,0.5097,1.0298,0.93169,0.9494,0.95888,0.57589,1.325,0.52935,1.21559,0.0009902,0.0009902,0.0009902
53,3357.61,1.0368,0.50747,1.04073,0.91347,0.93735,0.95128,0.55927,1.34125,0.5365,1.23432,0.0009704,0.0009704,0.0009704
